platform_Name,movieId,title,genres,director ,starring
Chorki,49,UPAHAR,DRAMA,Tapan Sinha,"Uttam Kumar, Sabitri Chatterjee, Kanu Bannerjee, Chhabi Biswas, Premangshu Bose"
Chorki,50,SANYASI RAJA,DRAMA,Piyush Bose,"Uttam Kumar, Supriya Choudhury"
Chorki,51,POTHEY HOLO DERI,DRAMA,Agradoot,"Uttam Kumar, Suchitra Sen, Shishir Batabyal, Anil Bhattacharya, Chhabi Biswas"
Chorki,52,ORA THAKEY ODHAREY,DRAMA,Sukumar Dasgupta,"Uttam Kumar, Suchitra Sen, Bhanu Bannerjee, Manjula Bannerjee"
Chorki,53,INDRANI,DRAMA,Niren Lahiri,"Uttam Kumar, Suchitra Sen"
Chorki,54,HAR MANA HAR,DRAMA,Salil Sen,"Uttam Kumar, Suchitra Sen, Lolita Chatterjee"
Chorki,55,DUI PRITHIBI,DRAMA,Piyush Bose,"Uttam Kumar, Victor Banerjee, Kalyani Mondal"
Chorki,56,DEYA NEYA,DRAMA,Sunil Bannerjee,"Uttam Kumar, Tanuja Samarth"
Chorki,57,DEBI CHOWDHURANI,DRAMA,Dinen Gupta,"Suchitra Sen, Haradhan Bannerjee, Kali Bannerjee, Vasant Choudhury, Premangshu Bose"
Chorki,58,CHOWRINGHEE,DRAMA,Pinaki Bhushan Mukherji,"Uttam Kumar, Supriya Choudhury, Anjana Bhowmick, Subhendu Chatterjee"
Chorki,59,ANTONY FIRINGEE,DRAMA,Sunil Banerjee,"Uttam Kumar, Tanuja "
Chorki,60,SONAR KELLA,DRAMA,Satyajit Ray,"Soumitra Chatterjee, Siddhartha Chatterjee, Santosh Dutta"
Chorki,61,PATHER PANCHALI,DRAMA,Satyajit Ray,"Subir Banerjee, Kanu Banerjee, Karuna Banerjee, Uma Dasgupta"
Chorki,62,JALSAGHAR,DRAMA,Satyajit Ray,"Chhabi Biswas, Padma Devi, Pinaki Sengupta, Gangapada Basu"
Chorki,63,HIRAK RAJAR DESHE,DRAMA,Satyajit Ray,"Tapen Chatterjee, Rabi Ghosh, Utpal Dutt, Soumitra Chatterjee, Santosh Dutta, Haradhan Bandopadhyay"
Chorki,64,CHIRIYAKHANA,DRAMA,Satyajit Ray,"Uttam Kumar, Kalipada Chakraborty, Nripati Chatterjee"
Chorki,65,ASHANI SANKET,DRAMA,Satyajit Ray,"Soumitra Chatterjee, Babita, Sandhya Roy"
Chorki,66,APARAJITO,DRAMA,Satyajit Ray,"Pinaki Sengupta, Kanu Banerjee, Karuna Banerjee"
Chorki,67,ABHIJAN,DRAMA,Satyajit Ray,"Soumitra Chatterjee, Waheeda Rehman, Ruma Guha Thakurta, Gyanesh Mukherjee, Rabi Ghosh"
Chorki,68,SORRY,DRAMA,Ishtiak Ahmed Rumel,"Marjuk Rasel, Tisha"
Chorki,69,BICYCLE,DRAMA,Kochi Khondokar,"Adnan Al Rajeev, Mim"
Chorki,70,BINOCULAR , DRAMA,Ashutosh Sujon,"Joyonto , Elora"
Chorki,71,JOL TORONGO,DRAMA,Humayun Ahmed,"Challenger, Dr. Ejaj, Mim"
Chorki,72,TONOYA,DRAMA,Imraul Rafat,"Fazlur Rahman Babu, Shamima Nazneen,Makhnun Sultana Mahima,S S Zayan"
Chorki,73,EI MUHURTE,SUSPENSE - SATIRE - DRAMA,"Piplu R Khan, Mejbaur Rahman Sumon, Abrar Athar","Sara Zaker, Shahiduzzaman Selim, Zahid Hasan, Rosy Siddiqui, Ashish khondker, Rokeya prachy, Mostafizur Noor Imran, Sunerah Binte Kamal, Yash Rohan, Irfan Sajjad, Sharif Siraj, Dibya Jyoti, Tanjim Saiyara Totini, Priyontee Urbee, Rasheda Rakhi, Kamruzzaman Tapu, Toufikul Islam Emon, Syeda Taslima Hossain Nodi, Ariq Anam Khan, Nawaf Naser, Sairaz Mahedi Rinku, MD: Shariful Islam, Syed Golam Sarwar, Md. Younus Ali, Iftekhar emaj, Syed Nazmus Sakib, Remon Hossain Khan, Bijaya Ratnabali, Sohan rahman, Riasat Salekin, Abrar Jahin Rafee, Eman Prodhan, Athar Mezbah Arnob"
Chorki,74,SHESH CHITHI,SOCIAL,Sumon Dhar,"Yash Rohan, Prarthana Fardin Dighi, Saberi Alam, Hindol Ray, Mili Munshi"
Chorki,75,ROSHNAI ,COMEDY,Zahid Hasan,"Zahad Hasan, Popy"
Chorki,76,EMON DESHTI KOTHAO KHUJE PABE NAKO TUMI ,FAMILY DRAMA,"Mostofa Sarwar Farooki, Redone Rony","Sohel Khan, Monira Mithu"
Chorki,77,MAYA,DRAMA,Mostofa Sarwar Farooki,"Shaon, Srabonti"
Chorki,78,MONER MANUSH,BIOGRAPHY,Goutam Ghose,"Prasenjit, Chanchal"
